SMILES,MolWt,LogP,HBD+HBA,TPSA,RotatableBonds,LogS
COc1ccc(cc1)N(=O)=O,153.13699999999997,1.6033999999999997,3,52.37,2,0.3101707993731142
CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,268.32,2.614700000000001,4,49.330000000000005,2,0.09535546373369018
Cc1ccnc(C)c1,107.15599999999999,1.69844,1,12.89,0,1.6420258803375438
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,380.444,3.5630000000000024,5,75.71,8,-1.3491583265883043
Clc2ccc1oc(=O)[nH]c1c2,169.567,1.7744999999999997,3,46.0,0,0.10919911869711947
CCN(CC)c1ccccc1,149.237,2.532800000000001,1,3.24,3,0.01420300360324109
CCCCCCBr,165.074,2.9616000000000016,0,0.0,4,-0.35814357817176085
CC#N,41.053,0.52988,1,23.79,0,1.5847417908336976
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,326.437,6.620600000000001,0,0.0,1,-2.086213611537795
CN(C)c1ccccc1,121.18299999999995,1.7526,1,3.24,1,0.5440808315138206
Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,329.32099999999997,4.738100000000002,2,22.0,2,-0.661271885129615
ClCC#N,75.498,0.74878,1,23.79,0,1.4167084616224146
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,394.43900000000014,0.6204999999999998,10,115.06000000000002,2,-0.2960858145425939
CCC1CCCCC1,112.21600000000001,2.976700000000002,0,0.0,1,-0.5681852396858644
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,449.8560000000001,6.543980000000005,4,59.32000000000001,6,-2.4423297012867073
Oc1ccncc1,95.10099999999998,0.7871999999999999,3,33.120000000000005,0,1.9475410243580582
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,291.99199999999996,5.967200000000002,0,0.0,1,-2.014608499657987
CCCCC=O,86.13399999999999,1.3755,1,17.07,3,1.0548639629231178
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,410.53600000000023,4.057500000000004,7,68.31,8,-0.787774249450609
CCC(=O)CC,86.134,1.3755,1,17.07,2,1.3269633880663885
CCCCCCCl,120.623,2.805500000000001,0,0.0,4,-0.028760063524643883
c1c(OC)c(OC)C2C(=O)OCC2c1,196.20199999999997,0.8497999999999999,4,44.760000000000005,2,0.5541055471769937
CCCC(=C)C,84.16199999999999,2.3626000000000005,0,0.0,2,0.01420300360324109
c1ccc2c(c1)ccc3ccccc32,178.23399999999998,3.993000000000002,0,0.0,0,-1.0503263263432385
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,326.437,6.620600000000001,0,0.0,1,-2.2628395541746547
Cc2ncc1nccnc1n2,146.153,0.7282199999999999,4,51.56,0,1.403342174071517
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,304.66999999999996,4.843900000000003,2,20.310000000000002,4,-0.8689267095810582
